Name,State,Married ages 32-34 (pct),Married ages 23-25 (pct),HBCU?,Religious private?,Nonsectarian private?
Missouri Baptist University,MO,0.6882909,0.2652824,No,Yes,No
Missouri Southern State University,MO,0.6483824,0.3132494,No,No,No
Missouri State University,MO,0.6846271,0.1938066,No,No,No
Northwest Missouri State University,MO,0.6936258,0.2193267,No,No,No
Park University,MO,0.5818238,0.3847263,No,No,Yes
Rockhurst University,MO,0.6441647,0.1226521,No,Yes,No
Saint Louis University,MO,0.6560026,0.0763366,No,Yes,No
Southeast Missouri State University,MO,0.6536538,0.206058,No,No,No
Southwest Baptist University,MO,0.7337441,0.4038367,No,Yes,No
Truman State University,MO,0.7078408,0.1489911,No,No,No
University Of Central Missouri,MO,0.6655819,0.2019759,No,No,No
Washington University In St. Louis,MO,0.5879824,0.032395,No,No,Yes
Webster University,MO,0.5538853,0.0989161,No,No,Yes
William Jewell College,MO,0.7070196,0.2217385,No,Yes,No
Jackson State University,MS,0.2097269,0.0511268,Yes,No,No
Mississippi State University,MS,0.6441755,0.1951535,No,No,No
University Of Mississippi,MS,0.6427775,0.1316092,No,No,No
University Of Southern Mississippi,MS,0.5614978,0.1662463,No,No,No
William Carey University,MS,0.5851516,0.2927594,No,Yes,No
Montana State University - Billings,MT,0.5800034,0.2396495,No,No,No
Montana State University - Northern,MT,0.6059626,0.2297804,No,No,No
Montana State University Bozeman,MT,0.6261371,0.1466996,No,No,No
Montana Tech Of The University Of Montana,MT,0.623048,0.1703814,No,No,No
Rocky Mountain College,MT,0.6055874,0.1720898,No,Yes,No
University Of Montana,MT,0.5555066,0.1290555,No,No,No
Appalachian State University,NC,0.6517413,0.1428766,No,No,No
Belmont Abbey College,NC,0.5986333,0.1396991,No,Yes,No
Bennett College,NC,0.2075168,0.0395983,Yes,Yes,No
Campbell University,NC,0.593508,0.2458704,No,Yes,No
Duke University,NC,0.5974407,0.0344968,No,Yes,No
East Carolina University,NC,0.6015963,0.1301373,No,No,No
Elon University,NC,0.6328057,0.0497609,No,Yes,No
Fayetteville State University,NC,0.285657,0.0992563,Yes,No,No
Gardner - Webb University,NC,0.6801704,0.2621846,No,Yes,No
Greensboro College,NC,0.582542,0.0828232,No,Yes,No
High Point University,NC,0.5784855,0.0837945,No,Yes,No
Lenoir-Rhyne University,NC,0.6538011,0.2442758,No,Yes,No
Mars Hill University,NC,0.6019122,0.167353,No,Yes,No
Meredith College,NC,0.7026873,0.2135523,No,No,Yes
Methodist University,NC,0.5392347,0.1972663,No,Yes,No
